"CODE_TYPE","CODE_ID","CODE_DESCR"
"COURSE","212PN","Master of Business Administration"
"COURSE","216AF","Postgraduate Diploma in Management"
"COURSE","216AP","Postgraduate Diploma in Management"
"COURSE","216MP","Postgraduate Diploma in Management (Marketing)"
"COURSE","234AA","Master of Design"
"COURSE","244CW","Master of Public Health"
"COURSE","246AA","Postgraduate Diploma In Economics"
"COURSE","249AA","Complementary Course - Commerce"
"COURSE","249AB","Complementary Course- Commerce(PG)"
"COURSE","254AA","Master of Choreography (VCA)"
"COURSE","254CW","Master of Choreography"
"COURSE","256AA","Postgraduate Diploma in Finance"
"COURSE","261AA","Master of Accounting"
"COURSE","261AL","Master of Accounting"
"COURSE","274AB","Master of Criminology"
"COURSE","276AA","Graduate Diploma in Intellectual Property Law"
"COURSE","277AA","Master of Intellectual Property Law"
"COURSE","280AA","Postgraduate Diploma in Advanced Clinical Optometry"
"COURSE","290AA","Postgraduate Diploma in Science"
"COURSE","294FN","Master of Marketing"
"COURSE","294PN","Master of Marketing"
"COURSE","300BB","Doctor of Education"
"COURSE","301AA","Ph.D.- Education"
"COURSE","305BB","Master of Clinical Audiology"
"COURSE","312AA","Master of Educational Psychology"
"COURSE","315DP","Bachelor of Agriculture"
"COURSE","315PD","Bachelor of Agriculture"
"COURSE","323AA","Graduate Diploma in International Law"
"COURSE","324BA","Master of International Business"
"COURSE","340AA","Graduate Diploma in Psychology"
"COURSE","342AA","Master of Psychiatry"
"COURSE","343AA","Graduate Diploma in Health and Medical Law"
"COURSE","344AB","Master of Public Policy and Management"
"COURSE","349AA","Complementary Course - Education"
"COURSE","349PG","Complementary Course-Education(PG)"
"COURSE","351AA","Ph.D.- Engineering"
"COURSE","361AA","Master of Software Systems Engineering"
"COURSE","364AA","Master of Telecommunications Engineering"
"COURSE","373AA","Graduate Diploma in Planning and Design"
"COURSE","377EC","Postgraduate Certificate in Arts (Editing and Communications)"
"COURSE","388AA","Graduate Diploma in Actuarial Studies"
"COURSE","391BB","Postgraduate Diploma in Food Science"
"COURSE","394BB","Postgraduate Certificate in Food Science"
"COURSE","414AA","Bachelor of Fine Art (Degree with Honours)"
"COURSE","423AA","Graduate Certificate in Marketing"
"COURSE","428AA","Graduate Diploma in Guided Imagery and Music"
"COURSE","429AA","Postgraduate Certificate in Information Systems"
"COURSE","439FS","Master of Food Science"
"COURSE","441AA","Postgraduate Certificate in Environment"
"COURSE","441AB","Postgraduate Diploma in Environment"
"COURSE","441ME","Master of Environment"
"COURSE","441MS","Master of Environment"
"COURSE","443AA","Postgraduate Diploma in Psychology"
"COURSE","449AA","Graduate Certificate in Wine Technology and Viticulture"
"COURSE","467AA","Postgraduate Diploma in Professional Ethics"
"COURSE","469AA","Postgraduate Certificate in Professional Ethics"
"COURSE","475AA","Doctor of Philosophy - Victorian College of the Arts"
"COURSE","479AA","Complementary Course - Engineering"
"COURSE","479AB","Complementary Course - Engineering"
"COURSE","489AC","Master of T.E.S.O.L. (Stream 100B) Coursework"
"COURSE","489BC","Master of T.E.S.O.L.(Stream 150B)Coursework"
"COURSE","490AA","Master of Business and Information Technology"
"COURSE","494AA","Master of Human Resource Management"
"COURSE","498AB","Graduate Diploma in Dispute Resolution"
"COURSE","499AA","Master of Information Technology"
"COURSE","501AA","Ph.D.- Law"
"COURSE","502CW","Master of Laws"
"COURSE","502NT","Master of Laws"
"COURSE","504AA","Master of Commercial Law"
"COURSE","507AA","Master of Health and Medical Law"
"COURSE","510AA","Master of Employment and Labour Relations Law"
"COURSE","511AA","Master of Public and International Law"
"COURSE","518AB","Graduate Diploma in Communications Law"
"COURSE","526AA","Master of Banking and Finance Law"
"COURSE","527CC","Master of Psychology (Clinical-Child)"
"COURSE","527CL","Master of Psychology (Clinical Psychology)"
"COURSE","527CN","Master of Psychology (Clinical Neuropsychology)"
"COURSE","527MP","Master of Psychology"
"COURSE","532PM","Master of Engineering Project Management"
"COURSE","534CR","Master of Physiotherapy (Cardiorespiratory Physiotherapy)"
"COURSE","534GN","Master of Physiotherapy"
"COURSE","534MP","Master of Physiotherapy (Musculoskeletal Physiotherapy)"
"COURSE","536AA","Master of Geographic Information Technology"
"COURSE","538AA","Graduate Diploma in Corporations and Securities Law"
"COURSE","546AA","Master of Primary Health Care"
"COURSE","549AA","Complementary Course - Law"
"COURSE","549PG","Complementary Course - Law (Postgraduate)"
"COURSE","551AA","Ph.D.- Medicine, Dentistry & Health Sciences"
"COURSE","552AA","Master of Surgery"
"COURSE","555AA","Bachelor of Medicine and Bachelor of Surgery"
"COURSE","555GR","Bachelor of Medicine and Bachelor of Surgery (Graduate Entry)"
"COURSE","558NA","Graduate Diploma in Film and Television (Narrative)"
"COURSE","565IN","Bachelor of Medical Science"
"COURSE","568GN","Postgraduate Certificate in Education (Generalist)"
"COURSE","568TB","Postgraduate Certificate in Educational Studies (TESOL)"
"COURSE","570AA","Master of Epidemiology"
"COURSE","572AT","Master of Medicine"
"COURSE","572RC","Master of Medicine (Radiology)"
"COURSE","580PD","Postgraduate Certificate in Physiotherapy(Paediatrics)"
"COURSE","580PF","Postgraduate Certificate in Physiotherapy (Pelvic Floor Physiotherapy)"
"COURSE","610AA","Postgraduate Certificate in Early Literacy Intervention"
"COURSE","617AB","Bachelor of Fine Art"
"COURSE","622AA","Graduate Certificate in University Management"
"COURSE","629AA","Bachelor of Agriculture (Degree with Honours)"
"COURSE","629DO","Bachelor of Agriculture (Degree with Honours)"
"COURSE","635AA","Master of Law and Development"
"COURSE","636AA","Graduate Diploma in Human Rights Law"
"COURSE","641SH","Postgraduate Certificate in Public Health (Sexual Health)"
"COURSE","642AA","Postgraduate Certificate in Biostatistics"
"COURSE","645AA","Postgraduate Diploma in Biostatistics"
"COURSE","649AA","Complementary Course - Medicine"
"COURSE","649PG","Complementary Course - Medicine"
"COURSE","649PH","Complementary Course - Medicine (Population Health)"
"COURSE","651AA","Ph.D.- Music"
"COURSE","652CO","Master of Music (Composition)"
"COURSE","652MP","Master of Music (Music Performance)"
"COURSE","652MT","Master of Music (Music Therapy)"
"COURSE","652MU","Master of Music (Musicology/Ethnomusicology)"
"COURSE","661AA","Doctor of Clinical Dentistry"
"COURSE","666AC","Master of Assessment and Evaluation (Stream 100B) Coursework"
"COURSE","666BC","Master of Assessment and Evaluation (Stream 150B) Coursework"
"COURSE","676BB","Master of School Leadership"
"COURSE","682AA","Postgraduate Diploma in Community Cultural Development Practice"
"COURSE","687AA","Graduate Certificate in Indigenous Arts Management"
"COURSE","695AA","Master of Education Policy (International)"
"COURSE","697AA","Graduate Certificate in University Teaching"
"COURSE","699AA","Complementary Course - Music"
"COURSE","702PA","Graduate Diploma in Property Valuation"
"COURSE","704BB","Master of Agribusiness (Coursework)"
"COURSE","704CC","Master of Agribusiness"
"COURSE","706AA","Master of Social Policy"
"COURSE","709AA","Graduate Diploma in Professional Accounting"
"COURSE","726AA","Graduate Diploma in Asian Law"
"COURSE","734AA","Bachelor of Music Performance (Degree with Honours)"
"COURSE","735IM","Bachelor of Music Performance (Improvisation) (VCA)"
"COURSE","742AB","Master of Tax"
"COURSE","745BM","Master of Biomedical Engineering"
"COURSE","746ST","Master of Engineering Structures"
"COURSE","750AA","Doctor of Science"
"COURSE","751AA","Ph.D.- Science"
"COURSE","754AA","Bachelor of Science (Degree with Honours)"
"COURSE","761EM","Master of Engineering Management"
"COURSE","777CC","U21 Certificate in Global Issues"
"COURSE","781AA","Master of Engineering in Distributed Computing"
"COURSE","799AA","Complementary Course - Science"
"COURSE","799PG","Complementary Course Science (Postgraduate)"
"COURSE","807AA","Bachelor of Film and Television (VCA)"
"COURSE","817AA","Bachelor of Dramatic Art (VCA)"
"COURSE","822AA","Postgraduate Diploma in Arts and Cultural Management"
"COURSE","831AA","Postgraduate Diploma in Urban Design"
"COURSE","835AA","Bachelor of Production"
"COURSE","841AC","Bachelor of Oral Health"
"COURSE","842AA","Graduate Certificate in Visual Art"
"COURSE","845AA","Postgraduate Diploma in Visual Art"
"COURSE","864AL","Master of Information Systems"
"COURSE","864AS","Master of Information Systems"
"COURSE","864BB","Master of Information Systems"
"COURSE","871AA","Ph.D.- Veterinary Science"
"COURSE","872AA","Master of Veterinary Science"
"COURSE","872BB","Master of Veterinary Science"
"COURSE","875VS","Bachelor of Veterinary Science"
"COURSE","881AA","Associate Degree in Environmental Horticulture"
"COURSE","882AM","Master of Avian Health & Medicine"
"COURSE","888CH","Diploma in Modern Languages (Chinese)"
"COURSE","888FR","Diploma in Modern Languages (French)"
"COURSE","888GE","Diploma in Modern Languages (German)"
"COURSE","888IN","Diploma in Modern Languages (Indonesian)"
"COURSE","888SP","Diploma in Modern Languages (Spanish)"
"COURSE","890AA","Master of Legal Systems"
"COURSE","891AA","Graduate Diploma in International Economic Law"
"COURSE","893AA","Graduate Diploma in Sports Law"
"COURSE","909AO","University of Melbourne Extension Program"
"COURSE","909AT","University of Melbourne Extension Program"
"COURSE","909BL","University of Melbourne Extension Program"
"COURSE","909CN","University of Melbourne Extension Program"
"COURSE","909EC","University of Melbourne Extension Program"
"COURSE","909FN","University of Melbourne Extension Program"
"COURSE","909HB","University of Melbourne Extension Program"
"COURSE","909HR","University of Melbourne Extension Program"
"COURSE","909HS","University of Melbourne Extension Program"
"COURSE","909ID","University of Melbourne Extension Program"
"COURSE","909LT","University of Melbourne Extension Program"
"COURSE","909MS","University of Melbourne Extension Program"
"COURSE","909MT","University of Melbourne Extension Program"
"COURSE","909PG","University of Melbourne Extension Program"
"COURSE","909PP","University of Melbourne Extension Program"
"COURSE","909PY","University of Melbourne Extension Program"
"COURSE","917AA","Master of Dramatic Art (Direction)"
"COURSE","937PC","Postgraduate Diploma in Film and Television (Producing)"
"COURSE","960AC","Master of Education"
"COURSE","960BA","Master of Education"
"COURSE","960EB","Master of Education (Educational Management)"
"COURSE","960EC","Master of Education (Educational Management)"
"COURSE","960IA","Master of Education (International Baccalaureate)"
"COURSE","960IB","Master of Education (International Baccalaureate)"
"COURSE","960LH","Master of Education (Language Intervention and Hearing Impairment)"
"COURSE","960MC","Master of Education (Educational Management)"
"COURSE","960NE","Master of Education (Special Education, Inclusion & Early Intervention)"
"COURSE","960NH","Master of Education (Language Intervention and Hearing Impairment)"
"COURSE","960NL","Master of Education (Specific Learning Difficulties)"
"COURSE","960SE","Master of Education (Special Education Inclusion and Early Intervention)"
"COURSE","960SL","Master of Education (Specific Learning Difficulties)"
"COURSE","962AA","Postgraduate Certificate in Assessment and Evaluation"
"COURSE","963AA","Postgraduate Diploma in Planning and Design"
"COURSE","968AB","Graduate Diploma in Banking and Finance Law"
"COURSE","981DO","Postgraduate Certificate in Education (International Baccalaureate)"
"COURSE","981DP","Postgraduate Certificate in Education (International Baccalaureate)"
"COURSE","981LH","Postgraduate Certificate in Education (LI&HI)"
"COURSE","981PY","Postgraduate Certificate in Education (International Baccalaureate)"
"COURSE","981SI","Postgraduate Certificate in Education (SE,I&EI)"
"COURSE","981SL","Postgraduate Certificate in Education (Specific Learning Difficulties)"
"COURSE","988EM","Graduate Certificate in Engineering (Engineering Management)"
"COURSE","991AA","Master of Biostatistics"
"COURSE","A-URBHORT","Associate Degree in Urban Horticulture"
"COURSE","B-AGR","Bachelor of Agriculture"
"COURSE","B-ARTS","Bachelor of Arts"
"COURSE","B-ARTSEXT","Bachelor of Arts (Extended)"
"COURSE","B-BMED","Bachelor of Biomedicine"
"COURSE","B-COM","Bachelor of Commerce"
"COURSE","B-DES","Bachelor of Design"
"COURSE","B-ENG","Bachelor of Engineering"
"COURSE","B-ENVS","Bachelor of Environments"
"COURSE","B-FAACTING","Bachelor of Fine Arts (Acting)"
"COURSE","B-FAANIM","Bachelor of Fine Arts (Animation)"
"COURSE","B-FACONTMU","Bachelor of Fine Arts (Contemporary Music)"
"COURSE","B-FADANCE","Bachelor of Fine Arts (Dance)"
"COURSE","B-FADPRO","Bachelor of Fine Arts (Design and Production)"
"COURSE","B-FAFILMTV","Bachelor of Fine Arts (Film and Television)"
"COURSE","B-FAMUSTH","Bachelor of Fine Arts (Music Theatre)"
"COURSE","B-FAPROD","Bachelor of Fine Arts (Production)"
"COURSE","B-FASCWRI","Bachelor of Fine Arts (Screenwriting)"
"COURSE","B-FATH","Bachelor of Fine Arts (Theatre)"
"COURSE","B-FATHPRAC","Bachelor of Fine Arts (Theatre Practice)"
"COURSE","B-FAVISART","Bachelor of Fine Arts (Visual Art)"
"COURSE","B-MUS","Bachelor of Music"
"COURSE","B-SCI","Bachelor of Science"
"COURSE","B-SCIEXT","Bachelor of Science (Extended)"
"COURSE","BH-AGR","Bachelor of Agriculture (Degree with Honours)"
"COURSE","BH-ARTS","Bachelor of Arts (Degree with Honours)"
"COURSE","BH-BMED","Bachelor of Biomedicine (Degree with Honours)"
"COURSE","BH-COM","Bachelor of Commerce (Degree with Honours)"
"COURSE","BH-ENVS","Bachelor of Environments (Degree with Honours)"
"COURSE","BH-FA","Bachelor of Fine Arts (Degree with Honours)"
"COURSE","BH-FACONMU","Bachelor of Fine Arts (Contemporary Music) (Degree with Honours)"
"COURSE","BH-FADANCE","Bachelor of Fine Arts (Dance) (Degree with Honours)"
"COURSE","BH-FAFTV","Bachelor of Fine Arts (Film and Television) (Degree with Honours)"
"COURSE","BH-FAVISAR","Bachelor of Fine Arts (Visual Art) (Degree with Honours)"
"COURSE","BH-MUS","Bachelor of Music (Degree with Honours)"
"COURSE","BH-ORHLTH","Bachelor of Oral Health (Degree with Honours)"
"COURSE","BH-SCI","Bachelor of Science (Degree with Honours)"
"COURSE","C01AA","Continuing Education - Agriculture and Forestry"
"COURSE","C01PB","Continuing Education - Agriculture and Forestry"
"COURSE","C01PG","Continuing Education Agriculture and Forestry"
"COURSE","C02AA","Continuing Education - Architecture and Planning"
"COURSE","C03AA","Continuing Education - Arts"
"COURSE","C04AA","Continuing Education - Economics and Commerce"
"COURSE","C05PG","Continuing Education - Education (Postgraduate)"
"COURSE","C06AA","Continuing Education - Engineering"
"COURSE","C08AA","Continuing Education - Law"
"COURSE","C08PG","Continuing Education - Law (Postgraduate)"
"COURSE","C09AA","Continuing Education - Medicine, Dentistry and Health Sciences(UGPsych)"
"COURSE","C09GP","Continuing Education - Medicine, Dentistry & Health Sciences(Gen.Pract.)"
"COURSE","C09NS","Continuing Education - Medicine, Dentistry & Health Science (PG Nursing)"
"COURSE","C09PM","Continuing Education - Medicine,Dentistry & Health Sciences(Postgrad.B)"
"COURSE","C09PS","Continuing Education-Medicine, Dentistry & Health Sciences(PGPsychology)"
"COURSE","C09PT","Continuing Education-Medicine, Dentistry & Health Sciences(PG Physio)"
"COURSE","C09UM","Continuing Education - Medicine, Dentistry and Health Sciences(UG Med.)"
"COURSE","C27AA","Continuing Education - Science"
"COURSE","C35AA","Continuing Education - Melbourne Consulting and Custom Programs"
"COURSE","C41AA","Continuing Education - VCA"
"COURSE","C98AA","Intensive Academic Program"
"COURSE","D-COMP","Diploma in Computing"
"COURSE","D-GENST","Diploma in General Studies"
"COURSE","D-GLOBISS","U21 Diploma in Global Issues"
"COURSE","D-INFO","Diploma in Informatics"
"COURSE","D-LANG","Diploma in Languages"
"COURSE","D-MATHSC","Diploma in Mathematical Sciences"
"COURSE","D-MUS","Diploma in Music (Practical)"
"COURSE","D-MUSIC","Diploma in Music"
"COURSE","D01LF","Master of Creative Writing, Publishing and Editing"
"COURSE","DH-LLD","Doctor of Laws"
"COURSE","DH-VPA","Doctor of Visual and Performing Arts"
"COURSE","DR-PHILABP","Doctor of Philosophy - Architecture, Building and Planning"
"COURSE","DR-PHILAGR","Doctor of Philosophy - Agricultural Sciences"
"COURSE","DR-PHILART","Doctor of Philosophy - Arts"
"COURSE","DR-PHILBE","Doctor of Philosophy - Business and Economics"
"COURSE","DR-PHILEDU","Doctor of Philosophy - Education"
"COURSE","DR-PHILEIT","Doctor of Philosophy - Engineering and IT"
"COURSE","DR-PHILENG","Doctor of Philosophy - Engineering"
"COURSE","DR-PHILFAM","Doctor of Philosophy - Fine Arts and Music"
"COURSE","DR-PHILLAW","Doctor of Philosophy - Law"
"COURSE","DR-PHILMDH","Doctor of Philosophy - Medicine, Dentistry and Health Sciences"
"COURSE","DR-PHILMUS","Doctor of Philosophy - Music"
"COURSE","DR-PHILSCI","Doctor of Philosophy - Science"
"COURSE","DR-PHILVCA","Doctor of Philosophy - Victorian College of the Arts"
"COURSE","DR-PHILVET","Doctor of Philosophy - Veterinary Science"
"COURSE","E-ABP","Enabling Course - Architecture, Building & Planning"
"COURSE","E-AGSCI","Enabling Course - Agricultural Sciences"
"COURSE","E-ARTS","Enabling Course - Arts"
"COURSE","E-BUSECO","Enabling Course - Business and Economics"
"COURSE","E-CONTMUS","Foundation Program (Contemporary Music)"
"COURSE","E-EDUC","Enabling Course - Education"
"COURSE","E-ENG","Enabling Course - Engineering"
"COURSE","E-LAW","Enabling Course - Law"
"COURSE","E-MDHS","Enabling Course - MDHS"
"COURSE","E-MUSPERF","Foundation Music Performance"
"COURSE","E-SCI","Enabling Course - Science"
"COURSE","E-VCAMCM","Enabling Course - VCA & Melbourne Conservatorium of Music"
"COURSE","E-VETSCI","Enabling Course - Veterinary Science"
"COURSE","E03UG","Study Abroad/Exchange Program - Arts U/G"
"COURSE","E07PG","Melbourne Business School Exchange Program"
"COURSE","EX-MBS","Exchange - Melbourne Business School"
"COURSE","EX-PG","Exchange Postgraduate"
"COURSE","EX-RES","Exchange Research"
"COURSE","EX-UG","Exchange Undergraduate"
"COURSE","F02AA","Graduate Certificate in Business Forensics"
"COURSE","F05AA","Executive Master of Public Administration"
"COURSE","G01SW","Master of Education (Student Wellbeing)"
"COURSE","G02AA","Master of Educational Psychology/Doctor of Philosophy"
"COURSE","GC-ADMNISS","Graduate Certificate in Auto Dealership Management (Nissan)"
"COURSE","GC-ADOLHW","Graduate Certificate in Adolescent Health and Wellbeing"
"COURSE","GC-AGEING","Graduate Certificate in Ageing"
"COURSE","GC-AGSC","Graduate Certificate in Agricultural Sciences"
"COURSE","GC-ALL","Graduate Certificate in Advanced Learning and Leadership"
"COURSE","GC-APPANA","Graduate Certificate in Applied Analytics"
"COURSE","GC-ARBCULT","Graduate Certificate in Arboriculture"
"COURSE","GC-ARTS","Graduate Certificate in Arts"
"COURSE","GC-ARTSCE","Graduate Certificate in Arts and Community Engagement"
"COURSE","GC-ASW","Graduate Certificate in Advanced Social Work"
"COURSE","GC-BA","Graduate Certificate in Business Administration"
"COURSE","GC-BFIREPM","Graduate Certificate in Bushfire Planning and Management"
"COURSE","GC-BIOSTAT","Graduate Certificate in Biostatistics"
"COURSE","GC-BUS","Graduate Certificate in Business"
"COURSE","GC-C001","Graduate Certificate in Education (International Baccalaureate)"
"COURSE","GC-C002","Specialist Certificate in Palliative Care"
"COURSE","GC-CCFPI","Graduate Certificate in Climate Change for Primary Industries"
"COURSE","GC-CCNURS","Graduate Certificate in Critical Care Nursing"
"COURSE","GC-CLINDNT","Graduate Certificate in Clinical Dentistry"
"COURSE","GC-CLINTCH","Graduate Certificate in Clinical Teaching"
"COURSE","GC-CLINUS","Graduate Certificate in Clinical Ultrasound"
"COURSE","GC-CLT","Specialist Certificate in Chinese Language Teaching"
"COURSE","GC-CNCRNUR","Graduate Certificate in Cancer Nursing"
"COURSE","GC-CNCRSC","Graduate Certificate in Cancer Sciences"
"COURSE","GC-COMMENG","Specialist Certificate in Communications and Engagement"
"COURSE","GC-CRCOORD","Specialist Certificate in Clinical Research-Clinical Trials Coordination"
"COURSE","GC-CRIMFD","Specialist Certificate in Criminology (Forensic Disability)"
"COURSE","GC-CRIMSOM","Specialist Certificate in Criminology (Sexual Offender Management)"
"COURSE","GC-CWMGT","Graduate Certificate in Catchment and Waterway Management"
"COURSE","GC-DTACP","Graduate Certificate in Dental Therapy (Advanced Clinical Practice)"
"COURSE","GC-EDCLIL","Professional Certificate in Education (CLIL)"
"COURSE","GC-EDCLINT","Specialist Certificate in Education (Clinical Teaching)"
"COURSE","GC-EDGEN","Graduate Certificate in Education"
"COURSE","GC-EDIBDPO","Graduate Certificate in Education (International Baccalaureate) DP"
"COURSE","GC-EDIBMCP","Graduate Certificate in Education (International Baccalaureate)"
"COURSE","GC-EDIBPY","Graduate Certificate in Education (International Baccalaureate) PYP"
"COURSE","GC-EDIBPYP","Graduate Certificate in Education (International Baccalaureate)"
"COURSE","GC-EDRES","Graduate Certificate in Educational Research"
"COURSE","GC-EDSLD","Graduate Certificate in Education (Specific Learning Difficulties)"
"COURSE","GC-EDTFA","Professional Certificate in Education (TFA Mentoring)"
"COURSE","GC-ELI","Graduate Certificate in Early Literacy Intervention"
"COURSE","GC-ENT","Graduate Certificate in Enterprise"
"COURSE","GC-ENV","Graduate Certificate in Environment"
"COURSE","GC-ENVDES","Graduate Certificate in Environmental Design"
"COURSE","GC-EVAL","Graduate Certificate in Evaluation"
"COURSE","GC-EVALO","Graduate Certificate in Evaluation"
"COURSE","GC-EXECLDS","Specialist Certificate in Executive Leadership"
"COURSE","GC-FOODSC","Graduate Certificate in Food Science"
"COURSE","GC-GARDES","Graduate Certificate in Garden Design"
"COURSE","GC-GRINFRA","Graduate Certificate in Green Infrastructure"
"COURSE","GC-GWINEST","Graduate Certificate in Global Wine Studies"
"COURSE","GC-HHS","Graduate Certificate in Health and Human Services"
"COURSE","GC-HINFDH","Graduate Certificate in Health Informatics and Digital Health"
"COURSE","GC-HISTED","Professional Certificate in History Education"
"COURSE","GC-HLTHSM","Professional Certificate in Health Systems Management"
"COURSE","GC-IBL","Graduate Certificate in Indigenous Business Leadership"
"COURSE","GC-INFOSYS","Graduate Certificate in Information Systems"
"COURSE","GC-INSLEAD","Professional Certificate in Instructional Leadership"
"COURSE","GC-INTEDIB","Graduate Certificate in International Education (IB)"
"COURSE","GC-IRL","Graduate Certificate in Indigenous Research and Leadership"
"COURSE","GC-IRPRO","Professional Certificate in Indigenous Research"
"COURSE","GC-IRTPPRO","Professional Certificate in Indigenous Research Training and Practices"
"COURSE","GC-LEADASS","Specialist Certificate in Leadership in Assessment Practice"
"COURSE","GC-LEDCLIL","Graduate Certificate in Language Education (CLIL)"
"COURSE","GC-LI","Graduate Certificate in Learning Intervention"
"COURSE","GC-MANYSHS","Graduate Certificate in Managing Youth Self-Harm and Suicide"
"COURSE","GC-MCLP","Specialist Certificate in the Management of Contact Lens Patients"
"COURSE","GC-MGMT","Graduate Certificate in Management"
"COURSE","GC-MHSC","Graduate Certificate in Mental Health Science"
"COURSE","GC-MKTMGT","Graduate Certificate in Marketing Management"
"COURSE","GC-MLEA","Graduate Certificate in Modern Languages Education (Stream A)"
"COURSE","GC-MLED","Graduate Certificate in Modern Languages Education"
"COURSE","GC-MLVP","Specialist Certificate in the Management of Low Vision Patients"
"COURSE","GC-MPP","Specialist Certificate in the Management of Paediatric Patients"
"COURSE","GC-NP","Graduate Certificate in Nursing Practice"
"COURSE","GC-NPACC","Graduate Certificate in Nursing Practice (Acute and Complex Care)"
"COURSE","GC-NPCC","Graduate Certificate in Nursing Practice (Critical Care)"
"COURSE","GC-NPCPC","Graduate Certificate in Nursing Practice (Cancer and Palliative Care)"
"COURSE","GC-NPEMERG","Graduate Certificate in Nursing Practice (Emergency)"
"COURSE","GC-NPNICU","Graduate Certificate in Nursing Practice (Neonatal Intensive Care)"
"COURSE","GC-NPPAED","Graduate Certificate in Nursing Practice (Paediatrics)"
"COURSE","GC-NPPIC","Graduate Certificate in Nursing Practice (Paediatric Intensive Care)"
"COURSE","GC-NPRCC","Graduate Certificate in Nursing Practice (Rural Critical Care)"
"COURSE","GC-NTCW","Graduate Certificate in Narrative Therapy and Community Work"
"COURSE","GC-PAEDOP","Specialist Certificate in Paediatric Orthopaedic Physiotherapy"
"COURSE","GC-PALCARE","Graduate Certificate in Palliative Care"
"COURSE","GC-PALLC","Specialist Certificate in Palliative Care"
"COURSE","GC-PCN","Graduate Certificate in Primary Care Nursing"
"COURSE","GC-PEDPBL","Professional Certificate in Education (Positive Behaviour and Learning)"
"COURSE","GC-PHTYEWH","Graduate Certificate in Physiotherapy (Exercise and Women's Health)"
"COURSE","GC-PHTYPAE","Graduate Certificate in Physiotherapy (Paediatrics)"
"COURSE","GC-PHTYPFP","Graduate Certificate in Physiotherapy (Pelvic Floor Physiotherapy)"
"COURSE","GC-PORTENG","Graduate Certificate in Port Engineering"
